,ICAO,Name,Country,Region,Latitude,Longitude,Ctemp,Snow,RGBA,Sunrise,Sunset
110,CYTS,Timmins Airport,CA,ON,48.57,-81.38,2.0,,"[0.6546489563567361, 1.0, 0.31309297912713474, 1.0]",2024-11-11 12:28:48+00:00,2024-11-10 21:49:48+00:00
111,CYQX,Gander Intl Airport,CA,NL,48.94,-54.57,6.0,,"[0.8697027197975963, 1.0, 0.0980392156862745, 1.0]",2024-11-11 10:42:36+00:00,2024-11-10 20:01:48+00:00
112,CYVR,Vancouver International Airport,CA,BC,49.19,-123.18,10.0,,"[1.0, 0.8286129266521426, 0.0, 1.0]",2024-11-11 15:18:00+00:00,2024-11-11 00:34:48+00:00
113,CWNM,Nelson CS,CA,BC,49.49,-117.31,5.9,,"[0.8570524984187222, 1.0, 0.11068943706514867, 1.0]",2024-11-11 14:55:48+00:00,2024-11-11 00:10:48+00:00
114,CXWN,Winnipeg The Forks,CA,MB,49.89,-97.13,2.0,,"[0.6546489563567361, 1.0, 0.31309297912713474, 1.0]",2024-11-11 13:36:00+00:00,2024-11-10 22:48:36+00:00
115,CWAE,Whistler / Alta Lake,CA,BC,50.1289,-122.9548,3.9,,"[0.7558507273877292, 1.0, 0.2118912080961417, 1.0]",2024-11-11 15:20:24+00:00,2024-11-11 00:31:12+00:00
116,CZMJ,Moose Jaw CS,CA,SK,50.33,-105.54,1.0,,"[0.5913978494623655, 1.0, 0.3763440860215054, 1.0]",2024-11-11 14:11:24+00:00,2024-11-10 23:21:00+00:00
117,CYYC,Calgary International Airport,CA,AB,51.12,-114.01,3.2,,"[0.7179000632511068, 1.0, 0.2498418722327641, 1.0]",2024-11-11 14:47:24+00:00,2024-11-10 23:52:12+00:00
118,CYAY,St Anthony / Big Brook,CA,NF,51.3833,-56.1,3.1,,"[0.7052498418722326, 1.0, 0.26249209361163817, 1.0]",2024-11-11 10:56:24+00:00,2024-11-10 20:00:00+00:00
119,CYAT,Attawapiskat,CA,ON,52.9275,-82.4319,-0.3,,"[0.5281467425679949, 1.0, 0.439595192915876, 1.0]",2024-11-11 12:47:24+00:00,2024-11-10 21:39:36+00:00
120,CZUM,"Churchill Falls, Nfld.",CA,NF,53.55,-64.1,-2.5,,"[0.4016445287792536, 1.0, 0.5660974067046174, 1.0]",2024-11-11 11:36:36+00:00,2024-11-10 20:24:00+00:00
121,CXEC,Edmonton Blatchford,CA,AB,53.57,-113.52,0.2,,"[0.5534471853257431, 1.0, 0.4142947501581278, 1.0]",2024-11-11 14:54:36+00:00,2024-11-10 23:41:24+00:00
122,CYTH,Thompson Airport,CA,MB,55.8,-97.86,-5.0,,"[0.26249209361163817, 1.0, 0.7052498418722328, 1.0]",2024-11-11 14:00:36+00:00,2024-11-10 22:29:24+00:00
123,CYMM,Fort McMurray,CA,AB,56.65,-111.2167,-1.0,,"[0.4901960784313725, 1.0, 0.4775458570524984, 1.0]",2024-11-11 14:58:12+00:00,2024-11-10 23:19:12+00:00
124,CYVP,Kuujjuaq Airport,CA,QC,58.09,-68.42,-5.1,,"[0.26249209361163817, 1.0, 0.7052498418722328, 1.0]",2024-11-11 12:13:48+00:00,2024-11-10 20:21:00+00:00
125,PAJN,Juneau International Airport,US,AK,58.35,-134.5667,3.5,,"[0.730550284629981, 1.0, 0.23719165085388993, 1.0]",2024-11-11 16:39:36+00:00,2024-11-11 00:43:48+00:00
126,CYYE,Fort Nelson Ua,CA,BC,58.84,-122.57,-10.0,,"[0.0, 0.8803921568627451, 0.9835547122074637, 1.0]",2024-11-11 15:54:36+00:00,2024-11-10 23:53:24+00:00
127,CWDC,Uranium City,CA,SK,59.57,-108.48,-6.7,,"[0.17394054395951927, 1.0, 0.7938013915243517, 1.0]",2024-11-11 15:01:48+00:00,2024-11-10 22:53:24+00:00
128,CYXY,Whitehorse Airport,CA,YT,60.71,-135.07,-3.0,,"[0.3763440860215053, 1.0, 0.5913978494623656, 1.0]",2024-11-11 16:55:12+00:00,2024-11-11 00:32:24+00:00
129,PALH,Anchorage / Turnagain Heights,US,AK,61.18,-149.9719,-3.3,,"[0.3636938646426312, 1.0, 0.6040480708412397, 1.0]",2024-11-11 17:57:36+00:00,2024-11-11 01:29:24+00:00
130,CYZF,Yellowknife Airport,CA,NT,62.46,-114.44,-11.8,,"[0.0, 0.7705882352941177, 1.0, 1.0]",2024-11-11 15:43:48+00:00,2024-11-10 22:58:48+00:00
131,CYFB,Iqaluit Ua,CA,NU,63.75,-68.55,-4.1,,"[0.3130929791271345, 1.0, 0.6546489563567364, 1.0]",2024-11-11 12:49:12+00:00,2024-11-10 19:45:36+00:00
132,CYBK,Baker Lake Airport,CA,NU,64.3,-96.08,-17.6,,"[0.0, 0.3627450980392157, 1.0, 1.0]",2024-11-11 14:44:24+00:00,2024-11-10 21:31:12+00:00
133,PAOM,Nome Airport,US,AK,64.5167,-165.4333,-12.3,,"[0.0, 0.7235294117647059, 1.0, 1.0]",2024-11-11 19:24:00+00:00,2024-11-11 02:06:00+00:00
134,CZEV,Inuvik,CA,NT,68.32,-133.52,-24.6,,"[0.0, 0.0, 0.945632798573975, 1.0]",2024-11-11 17:57:36+00:00,2024-11-10 23:16:48+00:00
